start_station_name,start_station_latitude,start_station_longitude,end_station_name,end_station_latitude,end_station_longitude
E 39 St & 2 Ave,40.74780373,-73.9734419,Grand St & Greene St,40.72165481,-74.00234737
E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,W 45 St & 6 Ave,40.7568001,-73.98291153
E 45 St & 3 Ave,40.75255434,-73.97282625,W 44 St & 5 Ave,40.75500254,-73.98014437
E 47 St & 1 Ave,40.75206862,-73.96784384,5 Ave & E 29 St,40.7451677,-73.98683077
E 48 St & 3 Ave,40.754601103,-73.971878855,W 15 St & 7 Ave,40.73935542,-73.99931783
E 56 St & Madison Ave,40.761628,-73.972924,E 53 St & Lexington Ave,40.75828065,-73.97069431
E 74 St & 1 Ave,40.7689738,-73.95482273,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
E 76 St & 3 Ave,40.772248538,-73.95842135,E 81 St & York Ave,40.7728384,-73.94989233
E 81 St & 3 Ave,40.77573034,-73.9567526,E 75 St & 3 Ave,40.77112927,-73.95772297
E 97 St & 3 Ave,40.7859201,-73.94860294,E 97 St & 3 Ave,40.7859201,-73.94860294
E 109 St & 3 Ave,40.79329668,-73.9432083,1 Ave & E 78 St,40.77140426,-73.9535166
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,Front St & Washington St,40.70255088,-73.98940236
FDR Drive & E 35 St,40.744219,-73.97121214,E 33 St & 5 Ave,40.74765947,-73.98490707
Forsyth St & Broome St,40.71893904,-73.99266288,Columbia St & Rivington St,40.71739973,-73.98016555
Front St & Gold St,40.70224,-73.982578,Clinton St & Union St,40.6831164,-73.99785267
Front St & Washington St,40.70255088,-73.98940236,Broadway & W 58 St,40.76695317,-73.98169333
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,W 84 St & Columbus Ave,40.78499979,-73.97283406
Grand St & Elizabeth St,40.718822,-73.99596,Cherry St,40.71219906,-73.97948148
Greenwich Ave & 8 Ave,40.739016912,-74.00263761,E 47 St & 1 Ave,40.75206862,-73.96784384
Greenwich St & Warren St,40.71542197,-74.01121978,Little West St & 1 Pl,40.70569254,-74.01677685
Henry St & Atlantic Ave,40.69089272,-73.99612349,Bond St & Bergen St,40.6849668,-73.98620772
